code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,myProfit,label1
002625,光启技术,汽车配件,浙江,363.42,2.0,12.68,763609.81,718980.56,28753.9,591899.0,4.67,0.058,5.93,4.73,20111103,30266.25,0.24,-14.41,95.89,33.51,28.96,29377.0,35.98,36.8,35.02,34.47,103818.02,-3.28,-8.56,36.728,35.528,35.64,70857.87,41717.69,27729.6,5.18,4.05,True
000002,万 科Ａ,全国地产,深圳,21.77,97.09,110.39,101838200.0,89974888.0,685739.06,905915.63,0.82,1.005,10.54,2.77,19910129,6357034.0,5.76,0.04,34.23,31.73,9.47,208975.0,31.09,31.35,30.75,30.1,405786.47,-0.77,-2.44,31.574,30.484,29.266,617001.19,624133.69,529628.96,0.42,3.04,True
600230,沧州大化,农药化肥,河北,9.73,2.94,2.94,443183.44,182274.09,214020.91,64217.56,2.18,3.28,8.3,5.13,20000406,129972.82,4.42,70.64,1066.43,54.82,30.84,43132.0,44.95,45.93,45.88,44.7,68956.34,1.03,2.3,45.604,46.832,46.874,83641.61,112067.45,116892.52,2.34,2.98,True
603338,浙江鼎力,专用机械,浙江,42.8,0.46,1.77,176783.7,113657.5,21053.56,38886.46,2.2,1.4,7.91,9.28,20150325,66883.84,3.78,74.15,70.28,42.92,26.27,8361.0,68.3,68.8,68.5,67.15,4861.48,0.96,1.42,69.504,71.419,71.897,7659.47,9239.94,12364.89,1.05,2.94,True
603165,荣晟环保,造纸,浙江,19.79,0.32,1.27,120759.75,69303.45,40023.37,27343.85,2.16,2.24,7.48,7.69,20170117,50045.8,3.95,132.31,284.12,24.2,18.54,11910.0,60.66,62.42,62.28,60.66,9350.89,1.47,2.42,61.534,62.902,66.987,11431.15,16086.68,24703.76,2.95,2.68,True
002809,红墙股份,化工原料,广东,56.3,0.6,1.25,118162.27,105689.52,7942.25,48728.55,3.9,0.47,7.38,4.58,20160823,37317.7,2.98,40.18,13.89,27.06,13.09,23499.0,27.75,28.38,27.94,27.7,12335.5,0.21,0.76,28.162,29.047,31.004,13646.4,13379.75,12363.68,2.05,2.62,True
603677,奇精机械,机械基件,浙江,39.03,0.34,1.4,127302.56,87544.68,24938.89,53161.55,3.79,0.53,6.07,4.28,20170206,21492.2,1.53,15.11,14.33,20.78,7.69,5928.0,21.75,23.77,23.77,21.54,18863.71,2.16,9.99,23.052,24.358,26.083,8561.03,6398.54,6322.71,5.55,2.62,True
002798,帝王洁具,家居用品,四川,109.33,0.32,0.9,77699.93,60338.0,12011.86,30658.66,3.4,0.37,7.78,6.59,20160525,24213.76,2.69,30.01,23.55,28.69,8.78,10490.0,52.93,56.23,55.9,52.27,21099.23,3.9,7.5,53.306,52.363,49.433,11144.28,12654.7,9339.54,6.54,2.49,True
300450,先导智能,专用机械,江苏,70.15,1.69,4.4,711358.63,553178.44,20740.59,140465.92,3.19,0.68,5.87,10.09,20150518,61964.0,1.41,76.75,82.06,42.0,26.58,15367.0,63.13,66.58,66.25,63.13,32965.54,3.24,5.14,68.034,68.921,74.802,29504.72,44841.05,42169.57,1.95,2.49,True
600745,闻泰科技,通信设备,湖北,55.61,4.83,6.37,1212884.13,878732.13,107582.47,237585.41,3.73,0.442,5.48,5.99,19960828,43358.05,0.68,47.87,743.6,8.15,2.24,20858.0,31.28,33.1,33.1,31.28,62318.58,1.53,4.85,32.406,32.406,32.689,79748.21,79689.85,81993.51,1.29,2.48,True
000025,特 力Ａ,汽车服务,深圳,218.98,1.94,2.97,134672.02,42539.75,12197.38,56522.63,1.9,0.137,3.15,12.65,19930621,7154.03,0.24,-0.99,54.89,26.42,17.03,56881.0,39.2,41.0,40.32,39.15,20598.33,0.39,0.98,40.146,40.859,42.177,16915.27,19515.85,20731.74,1.06,2.45,True
300572,安车检测,电器仪表,深圳,51.89,0.31,0.67,105821.36,98186.28,3810.35,27999.24,4.16,0.9,8.2,7.6,20161206,18388.92,2.73,31.05,55.57,49.31,20.91,7905.0,51.15,52.91,52.86,51.15,4562.0,0.98,1.89,53.374,54.311,57.99,3759.87,5215.88,7595.21,2.74,2.37,True
002346,柘中股份,电气设备,上海,29.35,0.8,4.42,227628.05,79105.18,37057.53,52081.5,1.18,0.553,4.34,4.99,20100128,75057.85,1.7,-16.05,1931.83,25.42,111.21,38326.0,22.26,23.06,22.69,22.1,36604.87,0.35,1.57,22.612,22.499,23.364,46298.45,38313.92,34076.02,4.59,2.31,True
300601,康泰生物,生物制药,深圳,100.78,0.42,4.21,213517.09,98629.61,23961.31,41285.96,0.98,0.38,2.36,21.13,20170207,30042.24,0.71,133.66,110.15,88.65,19.68,13834.0,47.0,49.75,49.53,46.5,23609.04,2.3,4.87,46.742,47.944,49.182,16570.62,20058.78,19746.66,5.62,2.13,True
601155,新城控股,区域地产,江苏,22.43,7.19,22.58,14881909.0,11512606.0,212237.77,260403.63,1.15,0.9,7.15,3.69,20151204,1146672.88,5.08,42.33,125.59,37.38,11.82,45312.0,24.39,24.45,23.37,23.13,195487.52,-1.2,-4.88,24.556,24.292,23.016,205119.42,171842.44,176366.16,2.77,2.08,True
600793,宜宾纸业,造纸,四川,18.52,1.05,1.05,365046.34,65262.05,198098.56,10537.1,1.0,0.956,1.46,16.15,19970220,-6045.06,-0.57,267.47,315.86,7.91,13.32,10500.0,21.71,22.18,22.11,21.51,6306.44,0.4,1.84,22.274,23.443,25.47,8328.26,10812.11,10714.1,0.6,2.04,True
000935,四川双马,水泥,四川,106.34,6.29,7.63,573362.63,89074.13,394899.31,99226.86,1.3,0.123,3.68,4.73,19990824,100363.03,1.31,22.67,102.0,19.26,5.04,84678.0,16.79,18.47,17.82,16.52,229465.08,0.86,5.07,16.922,17.527,19.191,126143.63,126890.76,150758.58,3.65,2.02,True
600549,厦门钨业,小金属,福建,33.01,10.82,10.87,1818278.75,966455.5,527476.38,333587.84,3.07,0.541,6.32,3.77,20021107,205164.69,1.89,79.73,283.85,22.81,5.79,89765.0,23.61,24.41,24.23,23.53,131865.91,0.5,2.11,24.002,24.344,25.895,184481.35,211057.26,205093.34,1.49,1.92,True
002034,美 欣 达,纺织,浙江,987.7,0.62,2.45,112878.61,74525.6,21501.2,60316.71,2.46,0.1,7.84,7.24,20040826,9028.03,0.37,-6.66,-32.81,17.16,1.87,5049.0,57.38,57.38,55.62,54.22,7961.79,-1.23,-2.16,58.518,59.636,61.272,4738.82,4608.22,6335.65,1.28,1.85,True
002670,国盛金控,证券,广东,72.12,4.92,14.98,2561462.0,1747454.25,7238.82,945964.81,6.32,0.225,7.93,2.73,20120416,91934.61,0.61,1.68,44.88,12.38,53.03,26116.0,20.03,20.45,20.3,19.78,135273.77,0.39,1.96,21.032,20.703,20.46,245564.82,221173.61,211312.44,2.75,1.83,True
300357,我武生物,生物制药,浙江,39.59,1.41,1.62,80591.28,62531.88,11505.88,18170.96,1.12,0.919,4.73,10.26,20140121,36944.48,2.29,23.13,44.76,97.0,50.57,10273.0,44.55,45.22,44.98,44.52,11887.11,0.18,0.4,45.674,46.323,47.411,11340.32,14624.7,19427.93,0.84,1.77,True
002110,三钢闽光,普钢,福建,8.36,9.91,13.74,1548558.13,812630.44,639460.06,458222.59,3.34,1.803,6.93,2.9,20070126,315408.0,2.3,63.08,373.03,22.52,15.65,39322.0,17.3,18.66,17.83,16.7,1152793.25,0.6,3.48,16.224,14.713,13.79,642936.01,380420.04,225685.97,11.64,1.66,True
300130,新国都,电脑设备,深圳,108.12,1.57,2.65,313258.69,147297.88,39222.55,113264.05,4.27,0.18,7.48,3.43,20101019,55964.16,2.11,3.98,-40.01,39.63,6.31,17434.0,24.11,24.65,24.58,23.8,27784.0,0.18,0.74,24.824,25.291,25.071,46806.2,35659.73,36724.78,1.77,1.63,True
300069,金利华电,电气设备,浙江,147.22,0.92,1.17,92400.53,57418.61,21722.31,26053.48,2.23,0.174,4.51,7.58,20100421,13065.12,1.12,-14.1,-7.54,41.12,9.35,3970.0,36.5,36.5,36.48,36.05,6705.51,0.03,0.08,36.596,36.978,37.827,10875.74,9454.36,7453.93,0.73,1.6,True
002812,创新股份,广告包装,云南,96.34,0.63,1.36,190476.02,130113.5,49026.7,102262.02,7.49,0.76,11.55,8.32,20160914,39970.59,2.93,4.81,-7.52,23.97,12.11,8175.0,100.0,101.3,99.36,97.31,11689.74,-1.12,-1.11,101.668,107.811,122.132,9865.92,14260.25,13312.23,1.86,1.6,True
600585,海螺水泥,水泥,安徽,11.68,40.0,52.99,11652647.0,4026500.75,6060501.5,1057638.25,2.0,1.851,15.74,1.83,20020207,6454382.5,12.18,31.86,64.34,32.44,19.6,67490.0,27.62,30.08,29.95,27.2,644970.44,2.36,8.55,28.992,28.497,27.01,673097.63,727802.21,659397.46,1.61,1.58,True
000885,同力水泥,水泥,河南,10.23,4.27,4.96,790873.75,61172.21,519215.25,5521.35,0.11,1.2,3.75,4.34,19990319,92444.4,1.86,20.93,115.91,42.64,15.58,57040.0,14.99,15.69,15.59,14.8,115223.35,0.59,3.93,15.072,15.915,17.238,83082.4,81797.36,84146.14,2.7,1.55,True
603228,景旺电子,元器件,深圳,29.95,0.48,4.08,457381.69,305123.81,114579.17,104656.93,2.57,1.266,7.68,6.58,20170106,160672.98,3.94,28.5,26.09,32.24,16.75,11413.0,51.95,53.5,53.12,51.54,8949.55,1.08,2.08,53.912,56.519,56.391,16026.82,16713.75,19071.22,1.86,1.51,True
